Plate	Plate.Date	Sort.Date	Production.Date	Internal.Index	External.Index	Sequencing.Dates	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID
EXE24_P1	07/06/20	14/06/20	20/08/20	1	8A	200910	EXE24_P1	200910	EXE24_P1
EXE24_P10	07/06/20	14/06/20	30/08/20	10	7B	200910	EXE24_P10	200910	EXE24_P10
EXE24_P11	07/06/20	14/06/20	30/08/20	11	7C	200910	EXE24_P11	200910	EXE24_P11
EXE24_P12	07/06/20	14/06/20	30/08/20	12	7D	200910	EXE24_P12	200910	EXE24_P12
EXE24_P13	07/06/20	14/06/20	30/08/20	13	7E	200910	EXE24_P13	200910	EXE24_P13
EXE24_P14	07/06/20	14/06/20	30/08/20	14	7F	200910	EXE24_P14	200910	EXE24_P14
EXE24_P15	07/06/20	14/06/20	30/08/20	15	7G	200910	EXE24_P15	200910	EXE24_P15
EXE24_P16	07/06/20	14/06/20	30/08/20	16	7H	200910	EXE24_P16	200910	EXE24_P16
EXE24_P17	07/06/20	14/06/20	08/09/20	1	4A	201101	EXE24_P17	201101	EXE24_P17
EXE24_P18	07/06/20	14/06/20	08/09/20	2	4B	201101	EXE24_P18	201101	EXE24_P18
EXE24_P19	07/06/20	14/06/20	08/09/20	3	4C	201101	EXE24_P19	201101	EXE24_P19
EXE24_P2	07/06/20	14/06/20	20/08/20	2	8B	200910	EXE24_P2	200910	EXE24_P2
EXE24_P3	07/06/20	14/06/20	20/08/20	3	8C	200910	EXE24_P3	200910	EXE24_P3
EXE24_P4	07/06/20	14/06/20	20/08/20	4	8D	200910	EXE24_P4	200910	EXE24_P4
EXE24_P5	07/06/20	14/06/20	20/08/20	5	8E	200910	EXE24_P5	200910	EXE24_P5
EXE24_P6	07/06/20	14/06/20	20/08/20	6	8F	200910	EXE24_P6	200910	EXE24_P6
EXE24_P7	07/06/20	14/06/20	20/08/20	7	8G	200910	EXE24_P7	200910	EXE24_P7
EXE24_P8	07/06/20	14/06/20	30/08/20	9	7A	200910	EXE24_P8	200910	EXE24_P8
EXE24_P9	07/06/20	14/06/20	20/08/20	8	8H	200910	EXE24_P9	200910	EXE24_P9
EXE25_P1	07/06/20	16/06/20	08/09/20	4	4D	201101	EXE25_P1	201101	EXE25_P1
EXE25_P10	10/06/20	16/06/20	13/09/20	13	4E	201101	EXE25_P10	201101	EXE25_P10
EXE25_P11	10/06/20	16/06/20	13/09/20	14	4F	201101	EXE25_P11	201101	EXE25_P11
EXE25_P2	07/06/20	16/06/20	08/09/20	5	4E	201101|201123	EXE25_P2	201101|201123	EXE25_P2
EXE25_P3	07/06/20	16/06/20	08/09/20	6	4F	201101	EXE25_P3	201101	EXE25_P3
EXE25_P4	07/06/20	16/06/20	08/09/20	7	4G	201101	EXE25_P4	201101	EXE25_P4
EXE25_P5	10/06/20	16/06/20	08/09/20	8	4H	201101	EXE25_P5	201101	EXE25_P5
EXE25_P6	10/06/20	16/06/20	13/09/20	9	4A	201101|201123	EXE25_P6	201101|201123	EXE25_P6
EXE25_P7	10/06/20	16/06/20	13/09/20	10	4B	201101	EXE25_P7	201101	EXE25_P7
EXE25_P8	10/06/20	16/06/20	13/09/20	11	4C	201101	EXE25_P8	201101	EXE25_P8
EXE25_P9	10/06/20	16/06/20	13/09/20	12	4D	201101	EXE25_P9	201101	EXE25_P9
EXE26_P1	10/06/20	29/06/20	13/09/20	15	4G	201101	EXE26_P1	201101	EXE26_P1
EXE27_P1	10/05/20	16/08/20	13/09/20	16	4H	201101	EXE27_P1	201101	EXE27_P1
EXE28_P1	08/11/20	10/11/2020	22/11/20	1	4A	201214	EXE28_P1	201214	EXE28_P1
EXE28_P10	08/11/20	10/11/2020	23/11/20	10	4B	201214	EXE28_P10	201214	EXE28_P10
